,name,long_name,default value,units
0,a_fix,Parameter 'a' of temp response of N fixation (Houlton et al.  2008),-3.62,unitless
1,aereoxid,Fraction of methane flux entering aerenchyma rhizosphere that will be oxidized rather than emitted,0,unitless
2,akc_active,Constant relating root C to arbuscular mycorrhizal root active uptake cost.,varies: 0.006 to 0.6,gC/m3
3,akn_active,Constant relating soil layer Nitrogen content to arbuscular mycorrhizal root active uptake cost.,varies: 0.012 to 1.2,gC/m2
4,aleaff,Leaf Allocation coefficient parameter used in CNAllocationn,0,unitless
5,allconsl,Leaf Allocation coefficient parameter power used in CNAllocation,varies: nan to nan,unitless
6,allconss,Stem Allocation coefficient parameter power used in CNAllocation,varies: nan to nan,unitless
7,arootf,Root Allocation coefficient parameter used in CNAllocation,varies: nan to nan,unitless
8,arooti,Root Allocation coefficient parameter used in CNAllocation,varies: nan to nan,unitless
9,astemf,Stem Allocation coefficient parameter used in CNAllocation,varies: nan to nan,unitless
10,atmch4,Atmospheric CH4 mixing ratio to prescribe if not provided by the atmospheric model,1.70E-6,mol/mol
11,b_fix,Parameter 'b' of temp response of N fixation (Houlton et al.  2008),0.27,1/C
12,baset,"Base Temperature, parameter used in accFlds",0,C
13,bdnr,bulk denitrification rate,0.5,1/day
14,bfact,Exponential factor used in CNAllocation for fraction allocated to leaf,varies: nan to nan,unitless
16,c_fix,Parameter 'c' of temp response of N fixation (Houlton et al.  2008),25.15,C
17,capthick,Minimum thickness before assuming h2osfc is impermeable,100.0,mm
18,cc_dstem,Combustion completeness factor for dead stem,varies: 0.27 to 0.8,0 to 1
19,cc_leaf,Combustion completeness factor for leaf,0.8,0 to 1
20,cc_lstem,Combustion completeness factor for live stem,varies: 0.27 to 0.8,0 to 1
21,cc_other,Combustion completeness factor for other plant,varies: 0.45 to 0.8,0 to 1
22,cn_s1,C:N for SOM pool 1,12.0,gC/gN
23,cn_s1_bgc,C:N for SOM 1,8.0,unitless
24,cn_s2,C:N for SOM pool 2,12.0,gC/gN
25,cn_s2_bgc,C:N for SOM pool 2,11.0,gC/gN
26,cn_s3,C:N for SOM pool 3,10.0,gC/gN
27,cn_s3_bgc,C:N for SOM pool 3,11.0,gC/gN
28,cn_s4,C:N for SOM pool 4,10.0,gC/gN
29,cnscalefactor,Scale factor on CN decomposition for assigning methane flux,1.0,unitless
30,compet_decomp_nh4,Relative competitiveness of immobilizers for NH4,1.0,unitless
31,compet_decomp_no3,Relative competitiveness of immobilizers for NO3,1.0,unitless
32,compet_denit,Relative competitiveness of denitrifiers for NO3,1.0,unitless
33,compet_nit,Relative competitiveness of nitrifiers for NH4,1.0,unitless
34,compet_plant_nh4,Relative compettiveness of plants for NH4,1.0,unitless
35,compet_plant_no3,Relative compettiveness of plants for NO3,1.0,unitless
36,crit_dayl,Critical day length for senescence,3.93E+4,seconds
37,crit_offset_fdd,Critical number of freezing days to initiate offset,15.0,days
38,crit_offset_swi,Critical number of water stress days to initiate offset,15.0,days
39,crit_onset_fdd,Critical number of freezing days to set gdd counter,15.0,days
40,crit_onset_swi,Critical number of days > soilpsi_on for onset,15.0,days
41,croot_stem,Allocation parameter: new coarse root C per new stem C,varies: 0.0 to 0.3,gC/gC
43,cryoturb_diffusion_k,The cryoturbation diffusive constant for vertical mixing of SOM,1.59E-11,m^2/sec
44,cwd_fcel,Cellulose fraction for CWD,0.76,unitless
45,cwd_flig,Lignin fraction of coarse woody debris,0.24,unitless
46,dayscrecover,days to recover negative cpool,30.0,unitless
47,deadwdcn,Dead wood (xylem and heartwood) C:N,varies: 0.0 to 500.0,gC/gN
48,declfact,Decline factor for gddmaturity used in CNAllocation,varies: nan to nan,unitless
49,depth_runoff_Nloss,Depth over which runoff mixes with soil water for N loss to runoff,0.05,m
50,dnp,Denitrification proportion,0.01,unitless
51,dsladlai,"Through canopy, projected area basis: dSLA/dLAI",varies: 0.00E+2 to 3.00E-3,m^2/gC
52,ef_time,e-folding time constant,1.0,years
53,ekc_active,Constant relating root C to ectomycorrhizal root active uptake cost.,varies: 0.036 to 3.6,gC/m3
54,ekn_active,Constant relating soil layer Nitrogen content to ectomycorrhizal root active uptake cost.,varies: 0.006 to 0.6,gC/m2
56,f_ch4,Ratio of CH4 production to total C mineralization,0.2,unitless
57,f_sat,Volumetric soil water defining top of water table or where production is allowed,0.95,unitless
58,fcur,"Allocation parameter: fraction of allocation that goes to currently displayed growth, remainder to storage",varies: 0.0 to 1.0,fraction
59,fcurdv,Alternate fcur for use with CNDV,varies: 0.5 to 1.0,fraction
60,fd_pft,Fire duration,24.0,hr
61,ffrootcn,Fine root C:N during organ fill,999.0,gC/gN
62,fleafcn,Leaf C:N during organ fill,999.0,gC/gN
63,fleafi,Leaf Allocation coefficient parameter fraction used in CNAllocation,varies: nan to nan,unitless
64,flivewd,Allocation parameter: fraction of new wood that is live (phloem and ray parenchyma),varies: 0.0 to 0.5,fraction
65,flnr,Fraction of leaf N in Rubisco enzyme,varies: 0.0461 to 0.1365,fraction
66,fm_droot,Fire-related mortality factor for dead roots,varies: 0.1 to 0.2,0 to 1
67,fm_dstem,Fire-related mortality factor for dead roots,varies: 0.1 to 0.2,0 to 1
68,fm_leaf,Fire-related mortality factor for leaf,0.8,0 to 1
69,fm_lroot,Fire-related mortality factor for live roots,varies: 0.1 to 0.2,0 to 1
70,fm_lstem,Fire-related mortality factor for live stem,varies: 0.35 to 0.8,0 to 1
71,fm_other,Fire-related mortality factor for other plant,varies: 0.35 to 0.8,0 to 1
72,fm_root,Fire-related mortality factor for fine roots,varies: 0.1 to 0.2,0 to 1
73,fnitr,Foliage nitrogen limitation factor,1.0,unitless
74,fr_fcel,Fine root litter cellulose fraction,0.5,fraction
75,fr_flab,Fine root litter labile fraction,0.25,fraction
76,fr_flig,Fine root litter lignin fraction,0.25,fraction
77,frootcn,Fine root C:N,42.0,gC/gN
78,frootcn_max,Maximum fine root CN ratio,52.0,gC/gN
79,frootcn_min,Minimum fine root CN ratio,32.0,gC/gN
80,fsr_pft,Fire spread rate,varies: 0.25 to 0.33,m/s
81,fstemcn,Stem C:N during organ fill,999.0,gC/gN
82,fstor2tran,Fraction of storage to move to transfer for each onset,0.5,unitless
83,fun_cn_flex_a,Parameter 'a' of FUN-flexcn code linking leafCN content and N cost to FUN C expenditure,5.0,unitless
84,fun_cn_flex_b,Parameter 'b' of FUN-flexcn linking leafCN content and N cost to FUN C expenditure,100.0,unitless
85,gddfunc_p1,Parameter 1 to calculate GDD threshold as fn of annual T,4.8,unitless
86,gddfunc_p2,Parameter 2 to calculate GDD threshold as fn of annual T,0.13,unitless
87,gddmin,Minimim growing degree days used in CNPhenology,varies: nan to nan,unitless
88,graincn,Grain C:N,varies: nan to nan,gC/gN
89,grnfill,Grain fill parameter used in CNPhenology,varies: nan to nan,unitless
90,grpnow,Growth respiration factor,1.0,unitless
91,highlatfact,Multiple of qflxlagd for high latitudes,2.0,unitless
92,hybgdd,Growing Degree Days for maturity used in CNPhenology,varies: nan to nan,unitless
93,i_flnr,intercept of the relationship between leaf N per unit area (gN/m2) and fraction leaf N in Rubisco (for vcmax_opt=4),varies: 0.18 to 0.28,fraction
94,i_vcad,intercept of the relationship between leaf N per unit area (gN/m2) and Vcmax25top (umol CO2/m2/s),varies: 3.21 to 30.93,umol CO2/m2/s
96,k_frag,Fragmentation rate for CWD,1.00E-3,1/day
97,k_l1,Decomposition rate for litter 1,1.204,1/day
98,k_l2,Decomposition rate for litter 2,0.0726,1/day
99,k_l3,Decomposition rate for litter 3,0.0141,1/day
100,k_m,Michaelis-Menten oxidation rate constant for CH4 concentration,5.00E-3,mol/m3-w
101,k_m_o2,Michaelis-Menten oxidation rate constant for O2 concentration,0.02,mol/m3-w
102,k_m_unsat,Michaelis-Menten oxidation rate constant for CH4 concentration,5.00E-4,mol/m3-w
103,k_mort,Coefficient of growth efficiency in mortality equation,0.3,unitless
104,k_s1,Decomposition rate for SOM 1,0.0726,1/day
105,k_s2,Decomposition rate for SOM 2,0.0141,1/day
106,k_s3,Decomposition rate for SOM 3,1.40E-3,1/day
107,k_s4,Decomposition rate for SOM 4,1.00E-4,1/day
108,kc_nonmyc,Constant relating root C to non-mycorrhizal root active uptake cost.,varies: 0.072 to 7.2,gC/m3
109,kn_nonmyc,Constant relating soil layer Nitrogen content to non-mycorrhizal root active uptake cost.,varies: 0.0012 to 0.12,gC/m2
110,kr_resorb,Constant relating leaf N of senesced leaves (gN/m2) to N resorption cost.,24.0,unitless
111,laimx,Maximum Leaf Area Index used in CNVegStructUpdate,varies: nan to nan,unitless
112,lake_decomp_fact,Base decomposition rate (1/s) at 25oC in lake,9.00E-11,1/s
113,leaf_long,Leaf longevity,varies: 0.14 to 3.3092,years
114,leafcn_max,Maximum leaf CN ratio,varies: 35.0 to 50.0,gC/gN
