param,min,max
default,OAAT0000,OAAT0000
taulnir,OAAT0001,OAAT0002
taulvis,OAAT0003,OAAT0004
tausnir,OAAT0005,OAAT0006
tausvis,OAAT0007,OAAT0008
rholnir,OAAT0009,OAAT0010
rholvis,OAAT0011,OAAT0012
rhosnir,OAAT0013,OAAT0014
rhosvis,OAAT0015,OAAT0016
xl,OAAT0017,OAAT0018
displar,OAAT0019,OAAT0020
dleaf,OAAT0021,OAAT0022
z0mr,OAAT0023,OAAT0024
csoilc,OAAT0025,OAAT0026
cv,OAAT0027,OAAT0028
a_coef,OAAT0029,OAAT0000
a_exp,OAAT0000,OAAT0030
zlnd,OAAT0031,OAAT0032
zsno,OAAT0033,OAAT0034
d_max,OAAT0035,OAAT0036
frac_sat_soil_dsl_init,OAAT0037,OAAT0038
lai_dl,OAAT0000,OAAT0039
z_dl,OAAT0040,OAAT0041
zetamaxstable,OAAT0042,OAAT0043
wind_min,OAAT0044,OAAT0045
tkd_sand,OAAT0046,OAAT0047
tkd_clay,OAAT0048,OAAT0049
tkd_om,OAAT0050,OAAT0051
tkm_om,OAAT0052,OAAT0053
pd,OAAT0054,OAAT0055
csol_om,OAAT0056,OAAT0057
csol_sand,OAAT0058,OAAT0059
csol_clay,OAAT0060,OAAT0061
baseflow_scalar,OAAT0070,OAAT0071
maximum_leaf_wetted_fraction,OAAT0072,OAAT0073
interception_fraction,OAAT0074,OAAT0000
aq_sp_yield_min,OAAT0075,OAAT0000
fff,OAAT0076,OAAT0077
liq_canopy_storage_scalar,OAAT0078,OAAT0079
snow_canopy_storage_scalar,OAAT0080,OAAT0081
e_ice,OAAT0084,OAAT0085
n_baseflow,OAAT0000,OAAT0086
n_melt_coef,OAAT0087,OAAT0088
accum_factor,OAAT0000,OAAT0089
eta0_vionnet,OAAT0090,OAAT0091
drift_gs,OAAT0092,OAAT0093
ssi,OAAT0094,OAAT0095
wimp,OAAT0096,OAAT0097
upplim_destruct_metamorph,OAAT0098,OAAT0099
wind_snowcompact_fact,OAAT0000,OAAT0100
rho_max,OAAT0101,OAAT0102
tau_ref,OAAT0103,OAAT0104
snowcan_unload_wind_fact,OAAT0105,OAAT0106
snowcan_unload_temp_fact,OAAT0107,OAAT0108
xdrdt,OAAT0109,OAAT0110
snw_rds_refrz,OAAT0111,OAAT0112
scvng_fct_mlt_sf,OAAT0113,OAAT0114
ceta,OAAT0115,OAAT0116
medlynslope,OAAT0400,OAAT0118
medlynintercept,OAAT0119,OAAT0413
fnps,OAAT0121,OAAT0122
theta_psii,OAAT0123,OAAT0124
theta_ip,OAAT0000,OAAT0125
theta_cj,OAAT0126,OAAT0127
kc25_coef,OAAT0128,OAAT0129
ko25_coef,OAAT0130,OAAT0131
cp25_yr2000,OAAT0132,OAAT0133
tpu25ratio,OAAT0137,OAAT0138
kp25ratio,OAAT0139,OAAT0140
lmrse,OAAT0141,OAAT0426
slatop,OAAT0143,OAAT0144
jmaxb0,OAAT0403,OAAT0146
jmaxb1,OAAT0147,OAAT0148
wc2wjb0,OAAT0404,OAAT0150
enzyme_turnover_daily,OAAT0151,OAAT0152
relhExp,OAAT0153,OAAT0154
minrelh,OAAT0155,OAAT0156
luna_theta_cj,OAAT0157,OAAT0158
kmax,OAAT0159,OAAT0160
krmax,OAAT0161,OAAT0162
psi50,OAAT0163,OAAT0164
ck,OAAT0165,OAAT0166
rootprof_beta,OAAT0167,OAAT0168
fbw,OAAT0169,OAAT0170
nstem,OAAT0171,OAAT0172
rstem,OAAT0173,OAAT0174
wood_density,OAAT0175,OAAT0176
grperc,OAAT0177,OAAT0178
br_mr,OAAT0179,OAAT0180
lmr_intercept_atkin,OAAT0181,OAAT0182
br_root,OAAT0183,OAAT0184
