,range,not_vegetated,needleleaf_evergreen_temperate_tree,needleleaf_evergreen_boreal_tree,needleleaf_deciduous_boreal_tree,broadleaf_evergreen_tropical_tree,broadleaf_evergreen_temperate_tree,broadleaf_deciduous_tropical_tree,broadleaf_deciduous_temperate_tree,broadleaf_deciduous_boreal_tree,broadleaf_evergreen_shrub,broadleaf_deciduous_temperate_shrub,broadleaf_deciduous_boreal_shrub,c3_arctic_grass,c3_non-arctic_grass,c4_grass,c3_crop,c3_irrigated
froot_leaf,(+-20%),0,1.5,1.5,0.8,1.5,1.5,1.5,1.5,0.8,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1
kmax,PFT,0,1.6021E-08,2.2346E-08,1.7901E-08,3.3173E-08,2.6027E-08,4.0278E-08,2.4794E-08,2.7321E-08,1.1487E-08,2.517E-09,4.118E-09,2.415E-09,2.003E-09,1.294E-09,2.0562E-08,1.2
krmax,PFT,0,1.49E-10,1.57E-10,1.08E-10,1.66E-10,8.4E-11,3.404E-09,1.04E-10,1.39E-10,1.029E-09,3.7753E-08,4.6E-11,8E-11,2.0774E-08,2.9729E-08,9.56E-10,
leaf_long,(+-20%),0,3.30917,3.30917,0.50667,1.4025,1.4025,0.48333,0.48333,0.48333,1.32333,0.39,0.39,0.32083,0.32083,0.14,0.32083,1
leafcn,(+-30%),1,58,58,25.81311,29.60332,29.60332,23.45216,23.45216,23.45216,36.41661,23.25581,21.4,20.7,28.02691,35.36068,28.02691,25
lmr_intercept_atkin,(+-20%),0,1.4995,1.4995,1.4995,1.756,1.756,1.756,1.756,1.756,2.0749,2.0749,2.0749,2.1956,2.1956,2.1956,2.1956,2.1956
medlynintercept,,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
medlynslope,PFT,0,2.349999905,2.349999905,2.349999905,4.119999886,4.119999886,4.449999809,4.449999809,4.449999809,4.699999809,4.699999809,4.699999809,2.220000029,5.25,1.620000005,5.789999962,5.789999962
psi50,(+-30%),-150000,-530000,-400000,-380000,-250000,-270000,-340000,-270000,-200000,-400000,-390000,-390000,-340000,-340000,-340000,-340000,-340000
slatop,PFT,0,0.01,0.01,0.02018,0.019,0.019,0.0308,0.0308,0.0308,0.01798,0.03072,0.028,0.021,0.04024,0.03846,0.04024,0.04024
stem_leaf,(+-20%),0,2.3,2.3,1,2.3,1.5,1,2.3,2.3,1.4,0.24,0.24,0,0,0,0,0
theta_cj,PFT,0,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.8,0.98,0.98
