,not_vegetated,needleleaf_evergreen_temperate_tree,needleleaf_evergreen_boreal_tree,needleleaf_deciduous_boreal_tree,broadleaf_evergreen_tropical_tree,broadleaf_evergreen_temperate_tree,broadleaf_deciduous_tropical_tree,broadleaf_deciduous_temperate_tree,broadleaf_deciduous_boreal_tree,broadleaf_evergreen_shrub,broadleaf_deciduous_temperate_shrub,broadleaf_deciduous_boreal_shrub,c3_arctic_grass,c3_non-arctic_grass,c4_grass,c3_crop,c3_irrigated
froot_leaf,0,1.8,1.8,0.96,1.8,1.8,1.8,1.8,0.96,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.2
kmax,0,0.000000038,0.000000034,0.000000031,0.00000017,0.00000019,0.00000006,0.00000022,0.00000023,0.00000002,4.10E-09,6.20E-09,3.60E-09,0.000000003,1.90E-09,0.000000031,0.000000031
krmax,0,2.50E-10,2.90E-10,1.60E-10,0.000000019,5.10E-10,0.00000001,1.60E-10,2.10E-10,1.70E-09,0.00000011,1.50E-10,1.90E-10,0.000000059,0.0000001,3.80E-09,3.80E-09
leaf_long,0,3.971004,3.971004,0.608004,1.683,1.683,0.579996,0.579996,0.579996,1.587996,0.468,0.468,0.384996,0.384996,0.168,0.384996,1.2
leafcn,1.3,75.4,75.4,33.557043,38.484316,38.484316,30.487808,30.487808,30.487808,47.341593,30.232553,27.82,26.91,36.434983,45.968884,36.434983,32.5
lmr_intercept_atkin,0,1.7994,1.7994,1.7994,2.1072,2.1072,2.1072,2.1072,2.1072,2.48988,2.48988,2.48988,2.63472,2.63472,2.63472,2.63472,2.63472
medlynintercept,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500
medlynslope,9,4.14,4.14,4.14,9.11,9.11,7.07,7.07,7.07,5.95,5.95,5.95,8.54,8.54,3.93,7.57,7.57
psi50,-105000,-371000,-280000,-266000,-175000,-189000,-238000,-189000,-140000,-280000,-273000,-273000,-238000,-238000,-238000,-238000,-238000
slatop,0,0.0127,0.0127,0.0226,0.022,0.022,0.0336,0.0336,0.0336,0.0212,0.0337,0.0312,0.0242,0.0434,0.0418,0.0434,0.0434
stem_leaf,0,2.76,2.76,1.2,2.76,1.8,1.2,2.76,2.76,1.68,0.288,0.288,0,0,0,0,0
theta_cj,0,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
