,not_vegetated,needleleaf_evergreen_temperate_tree,needleleaf_evergreen_boreal_tree,needleleaf_deciduous_boreal_tree,broadleaf_evergreen_tropical_tree,broadleaf_evergreen_temperate_tree,broadleaf_deciduous_tropical_tree,broadleaf_deciduous_temperate_tree,broadleaf_deciduous_boreal_tree,broadleaf_evergreen_shrub,broadleaf_deciduous_temperate_shrub,broadleaf_deciduous_boreal_shrub,c3_arctic_grass,c3_non-arctic_grass,c4_grass,c3_crop,c3_irrigated
froot_leaf,0,1.2,1.2,0.64,1.2,1.2,1.2,1.2,0.64,1.2,1.2,1.2,1.2,1.2,1.2,1.2,0.8
kmax,0,0.000000003,0.000000004,3.40E-09,0.000000015,0.000000013,8.50E-09,0.000000012,0.000000013,2.40E-09,9.50E-10,5.90E-10,2.30E-10,4.00E-10,3.10E-10,1.60E-09,1.60E-09
krmax,0,2.30E-11,2.60E-11,2.80E-11,1.10E-10,5.40E-11,8.00E-11,6.90E-11,9.30E-11,4.50E-11,7.40E-11,2.20E-11,1.00E-11,4.70E-11,8.20E-11,6.00E-11,6.00E-11
leaf_long,0,2.647336,2.647336,0.405336,1.122,1.122,0.386664,0.386664,0.386664,1.058664,0.312,0.312,0.256664,0.256664,0.112,0.256664,0.8
leafcn,0.7,40.6,40.6,18.069177,20.722324,20.722324,16.416512,16.416512,16.416512,25.491627,16.279067,14.98,14.49,19.618837,24.752476,19.618837,17.5
lmr_intercept_atkin,0,1.1996,1.1996,1.1996,1.4048,1.4048,1.4048,1.4048,1.4048,1.65992,1.65992,1.65992,1.75648,1.75648,1.75648,1.75648,1.75648
medlynintercept,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
medlynslope,9,1.53,1.53,1.53,2.909999,1.7,2.05,2.05,2.05,2.804999,2.804999,0.91,3.78,3.78,0.65,3.89,3.89
psi50,-195000,-689000,-520000,-494000,-325000,-351000,-442000,-351000,-260000,-520000,-507000,-507000,-442000,-442000,-442000,-442000,-442000
slatop,0,0.0073,0.0073,0.0177,0.0158,0.0158,0.0278,0.0278,0.0278,0.0147,0.0277,0.0248,0.0178,0.0371,0.0351,0.0371,0.0371
stem_leaf,0,1.84,1.84,0.8,1.84,1.2,0.8,1.84,1.84,1.12,0.192,0.192,0,0,0,0,0
theta_cj,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
