,GPPmin,GPPmax
Ice sheet,0.00392859528808722,0.01125069692606491
Tropical rain forest,4.247077527195473,5.48050574033359
Tropical seasonal forest/savanna,3.911552166666832,4.762337303828584
Subtropical desert,0.41430648387099994,0.655553212587781
Temperate rain forest,2.1592363951453097,2.600616052331956
Temperate seasonal forest,2.5490482591031642,3.0352267956910075
Woodland/shrubland,1.7090198552937605,1.856626802149997
Temperate grassland/desert,0.4139872477581247,0.6255879086692616
Boreal forest,1.3639352573100947,1.4657928191093408
Tundra,0.5883461341780106,0.6318213645255264
